Date,Year,Type,Country,Source
15-Aug,2022,Unprovoked,usa,"c. creswell, gsaf"
15-Aug,2022,Unprovoked,australia,"s. de march, gsaf"
13-Aug,2022,Unprovoked,usa,"orlando sentinel, 8/15/2022"
10-Aug,2022,Unprovoked,usa,"a .currie, gsaf"
28-Jul,2022,Unprovoked,england,unknown
27-Jul,2022,Unprovoked,usa,"click orlando, 7/28/2022"
25-Jul,2022,Unprovoked,usa,"wesh.com, 7/25/2022"
20-Jul,2022,Unprovoked,usa,"ny post, 7/21/2022"
19-Jul,2022,Unconfirmed,usa,"wesh, 7/20/2022"
19-Jul,2022,Unprovoked,usa,c. creswell. gsaf
17-Jul,2022,Provoked,usa,"ems1, 7/18/2022"
16-Jul,2022,Unprovoked,usa,"wesh, 717,2022"
13-Jul,2022,Unprovoked,usa,"abc news, 7/13/2022"
13-Jul,2022,Unprovoked,usa,"m. michaeson, gsaf"
10-Jul,2022,Unprovoked,usa,7/10/2022 daytona beach news-journal
07-Jul,2022,Unprovoked,usa,"abc7, 7/9/2022"
04-Jul,2022,Unprovoked,japan,"s. de marchi, gsaf"
03-Jul,2022,Unprovoked,usa,"daytona beach news journal, 7/3/2022"
03-Jul,2022,Unprovoked,usa,"abc7,7/3/2022"
01-Jul,2022,Unprovoked,indonesia,"amarjakaryn, 8/3/2022"
01-Jul,2022,Unprovoked,egypt,"m. michaeilson, gsaf"
01-Jul,2022,Unprovoked,egypt,"m. michaeilson, gsaf"
30-Jun,2022,Unprovoked,usa,"new york post,, 7/2/2022"
30-Jun,2022,Unprovoked,usa,"a. currie, gsaf"
29-Jun,2022,Unprovoked,usa,miami herald/ 7/12022
29-Jun,2022,Unprovoked,usa,"cbs miami, 7/1/2022"
28-Jun,2022,Unprovoked,south africa,"m. michaelson, gsaf"
24-Jun,2022,Unprovoked,jamaica,"the gleaner, 6/30/2022"
23-Jun,2022,Unprovoked,usa,"a. currie & r. babington, gsaf"
22-Jun,2022,Unprovoked,usa,"m. michaelson, and r. collier,  gsaf"
21-Jun,2022,Unprovoked,usa,"c. creswll, gsaf"
01-Jun,2022,Unprovoked,australia,"perth now, 6//2/2022"
27-May,2022,Unprovoked,australia,"perth now, 5/27/2022"
20-May,2022,Unprovoked,australia,9news. 5/30/2022
19-May,2022,Provoked,belize,"san pedro sun, 5/20/"
10-May,2022,Unprovoked,maldives,"maldives national defence force, 5/10/2022"
07-May,2022,Unprovoked,french polynesia,"franceinfo, 5/10/202232/2021"
03-May,2022,Provoked,usa,"j. marchand, gsaf"
01-May,2022,Unprovoked,thailand,"bangkok post, 5/01/2022"
30-Apr,2022,Unprovoked,french polynesia,"j. marchand, gsaf"
Unknown,2022,Unprovoked,australia,"daily star, 4/28/2022"
17-Apr,2022,Unprovoked,usa,"miami herald, 4/18/2022"
12-Apr,2022,Unprovoked,usa,"local12, 4/15/2022"
11-Apr,2022,Unprovoked,usa,"miami herald, 4/11/2022"
09-Apr,2022,Provoked,usa,"rsl media, 4/11/2022"
07-Apr,2022,Unprovoked,usa,"r. babington, gsaf & k. mcmurray, trackingsharks.com"
01-Apr,2022,Invalid,south africa,"daily star, 4/4/2022"
31-Mar,2022,Provoked,usa,"k. mcmurray, trackingsharks.com"
18-Mar,2022,Unprovoked,columbia,"r. babington & s. fe marchi, gsaf &;  k mcmurray"
15-Mar,2022,Unprovoked,new zealand,"otago daily times, 3/18/20229/2022"
15-Mar,2022,Unprovoked,australia,"s. de marchi, gsaf"
15-Mar,2022,Unprovoked,australia,"s. de marchi, gsaf"
13-Mar,2022,Unprovoked,usa,"r. babington, gsaf"
09-Mar,2022,Provoked,usa,"clickorlando, 3/11/20212"
08-Mar,2022,Unprovoked,australia,"upi, 3/8/2022"
26-Feb,2022,Unprovoked,usa,"r. collier, gsaf"
21-Feb,2022,Unconfirmed,bahamas,"m. michaelson, gsaf"
17-Feb,2022,Unprovoked,australia,"j. marchand, gsaf"
16-Feb,2022,Unprovoked,australia,"7news,2/16/2022"
12-Feb,2022,Unprovoked,mexico,"k. mcmurray, trackingsharks.com"
11-Feb,2022,Unprovoked,usa,"fox 35 orlando, 2/11/2022"
Unknown,2022,Provoked,bahamas,"k. mcmurray, trackingsharks.com"
08-Feb,2022,Invalid,costa rica,diario extra del costa rica 2/9/2022
05-Feb,2022,Unprovoked,australia,"k. mcmurray, trackingsharks.com"
24-Jan,2022,Unprovoked,australia,"k. mcmurray, trackingsharks.com"
22-Jan,2022,Unprovoked,australia,"k. mcmurray, trackingsharks.com"
09-Jan,2022,Provoked,south africa,"national sea rescue institute, 1/9/2022"
09-Jan,2022,Unprovoked,new zealand,"otago daily times, 1/9/2022"
06-Jan,2022,Unprovoked,usa,abc.net
04-Jan,2022,Unprovoked,australia,"a. currie, gsaf"
01-Jan,2022,Unprovoked,australia,"perth now, 1/1/2022"
25-Dec,2021,Unprovoked,new zealand,"new zealand herald, 12/31/2021"
24-Dec,2021,Unprovoked,usa,ralph collier gsaf
22-Dec,2021,Unprovoked,usa,abc.net
11-Dec,2021,Unprovoked,australia,a. currie & b. myatt.gsaf
Unknown,2021,Unprovoked,mexico,"riviera maya times, 12/6/2021"
06-Dec,2021,Unprovoked,australia,"b. myatt, gsaf and k. mcmurray, trackingsharks.com"
06-Dec,2021,Unprovoked,australia,"b. myatt, gsaf and k. mcmurray, trackingsharks.com"
04-Dec,2021,Unprovoked,usa,"k. mcmurray, trackingsharks.com"
15-Nov,2021,Unprovoked,brazil,"k. mcmurray, trackingsharks.com"
07-Nov,2021,Unprovoked,usa,"k. mcmurray, trackingsharks.com"
06-Nov,2021,Unprovoked,australia,"s. de marchi and b. myatt,  gsaf"
03-Nov,2021,Unprovoked,brazil,"o. gadig and k.mcmuray, trackinglsharks.ocm"
02-Nov,2021,Unprovoked,new zealand,"k. mcmurray, trackingsharks.com"
16-Oct,2021,Invalid,australia,"k. mcmurray, trackingsharks.com"
15-Oct,2021,Unprovoked,australia,"s. de marchi & b. myatt, gsaf, and  k. mcmurray, trackingsharks.com"
04-Oct,2021,Unprovoked,usa,"k. mcmurray, trackingsharks.com"
03-Oct,2021,Unprovoked,usa,"cbs12, 10/3/2021"
03-Oct,2021,Unprovoked,usa,"r. collier, gsaf & k."
10-Sep,2021,Invalid,egypt,dr. m. fouda & m. salrm
09-Sep,2021,Unprovoked,usa,"daytona beach news-journal, 9/14/2021"
05-Sep,2021,Unprovoked,australia,"b. myatt, gsaf"
03-Sep,2021,Unprovoked,unknown,anonymous
03-Sep,2021,Unprovoked,usa,"s. wagemann, gsaf"
28-Aug,2021,Unprovoked,usa,"t. craig, gsaf  & k. mcmurray, trackingshark.com"
21-Aug,2021,Unprovoked,usa,unknown
13-Aug,2021,Unprovoked,canada,"j. marchand, gsaf"
07-Aug,2021,Provoked,australia,"j. marchand and s. de marchi, gsaf"
07-Aug,2021,Unprovoked,usa,"j. marchand, gsaf"
07-Aug,2021,Unprovoked,usa,"r. b, gsaf"
03-Aug,2021,Unprovoked,usa,j. marchand. gsaf
02-Aug,2021,Unprovoked,usa,j. marchand. gsaf
30-Jul,2021,Provoked,usa,"j. marchand, gsaf"
27-Jul,2021,Unprovoked,usa,j. marchand. gsaf
27-Jul,2021,Unprovoked,usa,"c. creswell and j. marchand, gsaf"
27-Jul,2021,Provoked,australia,"j. marchand, gsaf"
26-Jul,2021,Unprovoked,usa,"s. curatolo-wagemann, gsaf & k. mcmurray, trackingsharks.com"
25-Jul,2021,Unprovoked,brazil,"k. mcmurray, trackingsharks.com"
23-Jul,2021,Provoked,thailand,"j. marchand, gsaf"
21-Jul,2021,Unprovoked,usa,j. romney
21-Jul,2021,Invalid,usa,"j  marchand, gsaf"
19-Jul,2021,Unprovoked,australia,"b. myatt & s. de marchi, gsaf"
15-Jul,2021,Unprovoked,usa,"k. mcmurray, trackingsharks.com"
14-Jul,2021,Unprovoked,south africa,"j. marchand & m. michaelson, gsaf"
Unknown,2021,Provoked,bahamas,"yahoo.com, 7/11/2021"
10-Jul,2021,Unprovoked,usa,"j. marchand, gsaf"
