Activity,Injury,Fatal,Species,Age,Age_group,,,,,,
fishing,No injury,non-fatal,white shark,,Unknown,,,,,,
fishing,No details,unknown,other,,Unknown,,,,,,
surfing,"FATAL, torso bitten ",fatal,white shark,24,Young Adult,,,,,,
surfing,Right leg severely bitten,non-fatal,tiger shark,,Unknown,,,,,,
fishing,Survived,non-fatal,other,,Unknown,,,,,,
other,Hand lacerated  PROVOKED INCIDENT,non-fatal,white shark,,Unknown,,,,,,
boating,Hand bitten,non-fatal,other,59,Adult,,,,,,
swimming,Hand & forearm bitten,non-fatal,other,19,Young Adult,,,,,,
surfing,No details,unknown,other,,Unknown,,,,,,
surfing,Puncture wounds to left foot,non-fatal,other,17,Teen,,,,,,
surfing,Laceration to right leg,non-fatal,other,24,Young Adult,,,,,,
surfing,5 puncture marks to hip,non-fatal,other,28,Young Adult,,,,,,
surfing,Lacerations to right hand,non-fatal,other,,Unknown,,,,,,
swimming,"FATAL, right calf bitten  ",fatal,tiger shark,26,Young Adult,,,,,,
surfing,Lacerations to 2 fingers of left hand,non-fatal,other,25,Young Adult,,,,,,
surfing,Laceration to foot,non-fatal,other,24,Young Adult,,,,,,
surfing,Laceration to left ankle,non-fatal,other,15,Teen,,,,,,
fishing,"Shot shark, then it bit him. Puncture wounds on leg  PROVOKED INCIDENT",non-fatal,other,19,Young Adult,,,,,,
fishing,Disappeared while fishing from shore. Leg found 7 days later wedged in rocks 150 yards offshore,unknown,other,,Unknown,,,,,,
diving,Bite to face,non-fatal,other,,Unknown,,,,,,
swimming,FATAL,fatal,other,19,Young Adult,,,,,,
surfing,Upper right arm bitten,non-fatal,mako shark,53,Adult,,,,,,
swimming,"Foot bitten between arch & big toe, no stitches required",non-fatal,other,16,Teen,,,,,,
surfing,7 lacerations to right foot,non-fatal,other,32,Young Adult,,,,,,
fishing,Left foot & ankle lacerated,non-fatal,other,,Unknown,,,,,,
fishing,Minor injuries from shark that leapt aboard their boat,non-fatal,other,,Unknown,,,,,,
fishing,"FATAL, disappeared, dive gear & shredded tooth-marked wetsuit were recovered",fatal,other,,Unknown,,,,,,
other,FATAL,fatal,white shark,27,Young Adult,,,,,,
surfing,"Shark & board collided. No injury, but board was dented",non-fatal,other,27,Young Adult,,,,,,
diving,Left arm bitten,non-fatal,other,,Unknown,,,,,,
surfing,"No Injury, board bitten",non-fatal,other,19,Young Adult,,,,,,
surfing,"Left leg bitten, surgically amputated",non-fatal,tiger shark,24,Young Adult,,,,,,
wading,"Lacerations on calf, ankle & heel",non-fatal,bull shark,19,Young Adult,,,,,,
surfing,Puncture wounds on  right thigh,non-fatal,other,24,Young Adult,,,,,,
fishing,Foot & ankle bitten,non-fatal,white shark,,Unknown,,,,,,
diving,,unknown,white shark,,Unknown,,,,,,
swimming,Foot lacerated,non-fatal,other,30,Young Adult,,,,,,
other,Puncture wounds to foot,non-fatal,hammerhead,,Unknown,,,,,,
surfing,Lacerations & punctures in left calf & ankle,non-fatal,hammerhead,15,Teen,,,,,,
fishing,Left arm lacerated,non-fatal,other,,Unknown,,,,,,
fishing,3 small punctures in scalp & ripped nostril,non-fatal,tiger shark,25,Young Adult,,,,,,
swimming,Probable drowning & scavenging by 1.5 m tiger shark,unknown,other,23,Young Adult,,,,,,
surfing,"No injury, ski bitten",non-fatal,tiger shark,27,Young Adult,,,,,,
fishing,Minor injury,non-fatal,other,,Unknown,,,,,,
paddle,"No injury, paddleski bitten",non-fatal,other,25,Young Adult,,,,,,
fishing,Bitten twice,non-fatal,white shark,22,Young Adult,,,,,,
swimming,"Right shoulder bitten, puncture wounds on chest & lacerations on his back",non-fatal,other,,Unknown,,,,,,
swimming,Probable  drowning & scavenging,unknown,other,,Unknown,,,,,,
swimming,FATAL,fatal,other,16,Teen,,,,,,
surfing,Thigh lacerated,non-fatal,white shark,29,Young Adult,,,,,,
surfing,No injury,non-fatal,white shark,19,Young Adult,,,,,,
wading,Laceration to leg,non-fatal,other,,Unknown,,,,,,
wading,Bitten behind knee & lower leg,non-fatal,other,10,Child,,,,,,
other,Torso bitten,non-fatal,tiger shark,,Unknown,,,,,,
surfing,Back bitten,non-fatal,other,15,Teen,,,,,,
surfing,"No injury, bumped off board",non-fatal,other,,Unknown,,,,,,
surfing,Lower leg bitten,non-fatal,other,,Unknown,,,,,,
surfing,"No injury, board bitten",non-fatal,other,22,Young Adult,,,,,,
fishing,Hand bitten by speared shark PROVOKED INCIDENT ,non-fatal,other,,Unknown,,,,,,
boating,FATAL x 2,fatal,other,,Unknown,,,,,,
surfing,Right calf bitten,non-fatal,tiger shark,13,Teen,,,,,,
other,FATAL,fatal,tiger shark,52,Adult,,,,,,
swimming,Right leg bitten,non-fatal,other,,Unknown,,,,,,
boating,FATAL,fatal,other,,Unknown,,,,,,
fishing,Leg lacerated by netted shark PROVOKED INCIDENT,non-fatal,hammerhead,61,Senior,,,,,,
other,"Both hands & heel of left foot lacerated, right foot severed",non-fatal,white shark,24,Young Adult,,,,,,
fishing,Ankle & foot lacerated,non-fatal,other,29,Young Adult,,,,,,
fishing,"No injury, rammed & catapulted from the water by shark after he shot at it & missed PROVOKED INCIDENT",non-fatal,other,29,Young Adult,,,,,,
swimming,Abrasion,non-fatal,hammerhead,,Unknown,,,,,,
swimming,3 small punctures on arm,non-fatal,other,25,Young Adult,,,,,,
other,FATAL  ,fatal,white shark,,Unknown,,,,,,
surfing,Knee bitten,unknown,white shark,,Unknown,,,,,,
fishing,No injury; 2 m shark made threat display and impaled itself on spear,unknown,other,20,Young Adult,,,,,,
fishing,Chest bitten,non-fatal,other,,Unknown,,,,,,
swimming,Shin lacerated,non-fatal,other,18,Teen,,,,,,
fishing,FATAL,fatal,white shark,19,Young Adult,,,,,,
diving,Toothmarks on head & neck,non-fatal,other,32,Young Adult,,,,,,
surfing,Multiple major Injuries,non-fatal,white shark,20,Young Adult,,,,,,
fishing,"No injury to occupants; hooked shark tore out part of transom, bit skeg of motor and snapped the steel trace PROVOKED INCIDENT",non-fatal,white shark,,Unknown,,,,,,
fishing,Bitten below right knee by hooked shark pulled onboard skiboat PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
swimming,"Leg severed, FATAL",fatal,other,21,Young Adult,,,,,,
kayaking,Lacerations to foot,non-fatal,other,49,Adult,,,,,,
boating,Lacerations to leg,non-fatal,other,56,Adult,,,,,,
fishing,Shark rammed diver after he shot it in the head  PROVOKED INCIDENT,non-fatal,white shark,25,Young Adult,,,,,,
fishing,"Thigh severely injured, survived",non-fatal,other,,Unknown,,,,,,
swimming,Right foot & ankle lacerated,non-fatal,other,24,Young Adult,,,,,,
surfing,Right foot bitten,non-fatal,other,8,Child,,,,,,
surfing,Foot & ankle bitten,non-fatal,other,27,Young Adult,,,,,,
other,"No injury, swim fin bitten",non-fatal,white shark,,Unknown,,,,,,
fishing,"Presumed FATAL, body not recovered",fatal,other,,Unknown,,,,,,
surfing,Punctures on left thigh,non-fatal,other,19,Young Adult,,,,,,
fishing,"FATAL, disappeared while fishing from shore, divers recovered his hand",fatal,other,,Unknown,,,,,,
fishing,"FATAL, legs bitten ",fatal,white shark,23,Young Adult,,,,,,
surfing,Left arm bitten,non-fatal,other,,Unknown,,,,,,
surfing,Hand lacerated,non-fatal,other,17,Teen,,,,,,
fishing,FATAL or scavenging by 3 m tiger shark (may have involved foul play),unknown,other,,Unknown,,,,,,
fishing,"No injury, shark took his catch, then towed & pushed diver through the water ",non-fatal,white shark,27,Young Adult,,,,,,
diving,No injury,non-fatal,white shark,,Unknown,,,,,,
wading,Punctures on leg (minor injury),non-fatal,other,,Unknown,,,,,,
boating,"No injury, his foot was bumped by a shark biting the body of a passenger that had drowned.",non-fatal,other,39,Adult,,,,,,
fishing,Laceration to leg by hooked shark  PROVOKED INCIDENT,non-fatal,other,27,Young Adult,,,,,,
surfing,Foot bitten,non-fatal,other,20,Young Adult,,,,,,
surfing,Foot nipped,non-fatal,other,17,Teen,,,,,,
diving,Laceration to left hand,non-fatal,other,25,Young Adult,,,,,,
diving,Lacerations to right forearm ,non-fatal,other,23,Young Adult,,,,,,
fishing,"Shark jumped in boat, but no injury to occupants",non-fatal,other,,Unknown,,,,,,
diving,"No injury, rammed by shark",non-fatal,white shark,,Unknown,,,,,,
surfing,"Left leg, ankle & foot bitten",non-fatal,other,17,Teen,,,,,,
surfing,Foot bitten,non-fatal,other,,Unknown,,,,,,
swimming,FATAL,fatal,other,,Unknown,,,,,,
swimming,Feet lacerated,non-fatal,other,49,Adult,,,,,,
surfing,Laceration to right hand,non-fatal,other,27,Young Adult,,,,,,
surfing,"Both legs bitten, 2 days later gangrene necessitated surgical amputation of left leg at mid-thigh",non-fatal,tiger shark,18,Teen,,,,,,
fishing,No injury to occupant: shark bit boat's port chine,non-fatal,white shark,,Unknown,,,,,,
fishing,"No injury, shark bit speargun & pushed diver through the water",non-fatal,white shark,25,Young Adult,,,,,,
surfing,"Board rammed &  bitten, left thigh lacerated",non-fatal,white shark,17,Teen,,,,,,
fishing,"Shark leapt into boat, pinning Mamacos beneath and fracturing his pelvis, then trashed the boat rendering it inoperable",non-fatal,white shark,,Unknown,,,,,,
surfing,Leg lacerated,non-fatal,white shark,20,Young Adult,,,,,,
wading,Lacerations to hip and leg,unknown,other,17,Teen,,,,,,
fishing,Laceration to right hand,non-fatal,other,21,Young Adult,,,,,,
fishing,"PROVOKED INCIDENT    Diver poked shark with spear, then shark bit his right foot",non-fatal,bull shark,27,Young Adult,,,,,,
fishing,Lacerations to wrist,non-fatal,bull shark,25,Young Adult,,,,,,
fishing,Lombard's thigh was lacerated by shark that leapt into boat ,non-fatal,mako shark,,Unknown,,,,,,
swimming,Arm bitten,non-fatal,other,,Unknown,,,,,,
swimming,Right foot bitten,non-fatal,other,31,Young Adult,,,,,,
surfing,"Left hand, arm & leg lacerated, & shark bit chunk out of his surfboard",non-fatal,other,24,Young Adult,,,,,,
swimming,"FATAL, left leg severed, neck cut  ",fatal,other,,Unknown,,,,,,
other,Buttocks & hip bitten,non-fatal,white shark,29,Young Adult,,,,,,
other,Torso bitten,non-fatal,white shark,19,Young Adult,,,,,,
surfing,"Right arm severed 1"" below elbow with extensive tissue loss 3"" above elbow",non-fatal,bull shark,19,Young Adult,,,,,,
swimming,Laceration to foot,unknown,other,17,Teen,,,,,,
fishing,"No injury to occupants. Hooked shark bit boat's transom, PROVOKED INCIDENT",non-fatal,white shark,,Unknown,,,,,,
boating,"No injury to occupants, shark leapt on bow of boat",non-fatal,white shark,,Unknown,,,,,,
surfing,Leg bitten ,non-fatal,white shark,25,Young Adult,,,,,,
surfing,Left thigh lacerated,non-fatal,white shark,20,Young Adult,,,,,,
swimming,FATAL,fatal,other,16,Teen,,,,,,
swimming,FATAL,fatal,other,,Unknown,,,,,,
surfing,Laceration to left lower leg,non-fatal,tiger shark,15,Teen,,,,,,
surfing,Right ankle & foot lacerated,non-fatal,other,23,Young Adult,,,,,,
surfing,"No injury, board bitten",non-fatal,white shark,19,Young Adult,,,,,,
fishing,Lacerations to forearms,non-fatal,other,24,Young Adult,,,,,,
fishing,"""lost part of a finger""",non-fatal,other,23,Young Adult,,,,,,
swimming,Leg & foot bitten,non-fatal,other,,Unknown,,,,,,
fishing,Shark rammed boat PROVOKED INCIDENT,non-fatal,other,46,Adult,,,,,,
boating,"Shark jumped in boat, hitting her in the face & knocking her unconscious",non-fatal,other,,Unknown,,,,,,
fishing,"Shark following hooked fish, rammed & holed boat",non-fatal,mako shark,,Unknown,,,,,,
fishing,"No injury to occupants, shark buckled prop shaft",non-fatal,other,,Unknown,,,,,,
other,Shark breached hull of boat,non-fatal,white shark,,Unknown,,,,,,
other,"Shark leapt into boat, hitting Fanie Schoeman on his back before sliding into the sea",non-fatal,white shark,,Unknown,,,,,,
other,"No injury to occupants, shark rammed bow, driving its head into the hull",non-fatal,white shark,,Unknown,,,,,,
fishing,"No injury to occupants, After shark was harpooned & shot, it holed the boat PROVOKED INCIDENT",non-fatal,other,,Unknown,,,,,,
fishing,"Hooked shark leapt onboard & into fish well, which it smashed PROVOKED INCIDENT",non-fatal,white shark,,Unknown,,,,,,
fishing,Puncture wounds to head & neck,non-fatal,other,25,Young Adult,,,,,,
fishing,FATAL,fatal,whaler shark,,Unknown,,,,,,
fishing,Leg bitten,non-fatal,white shark,27,Young Adult,,,,,,
surfing,Foot bitten,non-fatal,other,18,Teen,,,,,,
surfing,"""Tooth marks"" in left leg",unknown,other,,Unknown,,,,,,
surfing,"Cracked jaw & broken tooth, shark took chunk out of surfboard",non-fatal,whaler shark,20,Young Adult,,,,,,
surfing,,unknown,other,,Unknown,,,,,,
paddle,Right foot & ankle lacerated,non-fatal,other,21,Young Adult,,,,,,
surfing,Left leg & surfboard bitten,non-fatal,white shark,19,Young Adult,,,,,,
other,"Shoulder, arm & hand lacerated",non-fatal,white shark,44,Adult,,,,,,
swimming,"Leg bitten, surgically amputated",non-fatal,other,24,Young Adult,,,,,,
other,FATAL,fatal,white shark,37,Adult,,,,,,
surfing,Buttocks & leg bitten,non-fatal,other,21,Young Adult,,,,,,
surfing,Legs bitten,non-fatal,white shark,23,Young Adult,,,,,,
other,"No injury, swim fin torn",non-fatal,white shark,34,Young Adult,,,,,,
swimming,Arm lacerated,non-fatal,other,14,Teen,,,,,,
fishing,Speared shark bit his arm  between elbow and shoulder PROVOKED INCIDENT,non-fatal,whaler shark,29,Young Adult,,,,,,
surfing,"Foot bitten, tendons damaged",non-fatal,other,16,Teen,,,,,,
swimming,Lacerations to right foot,non-fatal,other,18,Teen,,,,,,
swimming,Left leg bitten,non-fatal,other,27,Young Adult,,,,,,
surfing,"No injury, board bumped",non-fatal,other,20,Young Adult,,,,,,
surfing,Right foot bitten,non-fatal,other,17,Teen,,,,,,
fishing,"No injury, rammed by shark",non-fatal,white shark,,Unknown,,,,,,
swimming,Probable drowning / scavenging by a white shark,unknown,other,,Unknown,,,,,,
other,Laceration to thigh by captive shark PROVOKED INCIDENT,non-fatal,whaler shark,18,Teen,,,,,,
surfing,Foot severed,non-fatal,other,16,Teen,,,,,,
other,Shark bit rudder & hull,non-fatal,mako shark,,Unknown,,,,,,
swimming,Right leg  severed FATAL,fatal,white shark,12,Child,,,,,,
fishing,Puncture wounds to right shoulder,non-fatal,other,45,Adult,,,,,,
fishing,Foot bitten by shark he was gaffing  PROVOKED INCIDENT,non-fatal,other,12,Child,,,,,,
surfing,"FATAL, body not recovered",fatal,other,17,Teen,,,,,,
fishing,Laceration to right ankle,non-fatal,other,25,Young Adult,,,,,,
fishing,No injury to occupant,non-fatal,white shark,,Unknown,,,,,,
surfing,"Thigh, lower back and surfboard bitten",non-fatal,white shark,17,Teen,,,,,,
other,Major injuries,non-fatal,white shark,29,Young Adult,,,,,,
swimming,"Bitten 12 times: multiple lacerations on hands, arms, shoulder breast thigh, both legs, left forearm surgically amputated ",non-fatal,mako shark,20,Young Adult,,,,,,
surfing,Minor injuries to hand,non-fatal,white shark,41,Adult,,,,,,
surfing,Minor bite on foot & swimfin,non-fatal,white shark,48,Adult,,,,,,
fishing,"Missing, believed taken by a shark",non-fatal,other,30,Young Adult,,,,,,
surfing,No injury,non-fatal,white shark,24,Young Adult,,,,,,
swimming,Survived,non-fatal,other,22,Young Adult,,,,,,
swimming,FATAL,fatal,other,,Unknown,,,,,,
swimming,Arm broken & severely lacerated,non-fatal,other,19,Young Adult,,,,,,
swimming,Left foot bitten,non-fatal,other,18,Teen,,,,,,
other,Foot severed FATAL,fatal,white shark,21,Young Adult,,,,,,
surfing,Minor injuries to hand,non-fatal,white shark,,Unknown,,,,,,
other,Minor bite on heel & swim fin bitten,non-fatal,white shark,36,Adult,,,,,,
swimming,FATAL,fatal,other,17,Teen,,,,,,
swimming,Lacerations to hip and leg,non-fatal,other,61,Senior,,,,,,
surfing,Leg bitten,non-fatal,white shark,45,Adult,,,,,,
fishing,FATAL,fatal,other,,Unknown,,,,,,
fishing,Left knee lacerated,non-fatal,other,22,Young Adult,,,,,,
swimming,Foot bitten,non-fatal,other,11,Child,,,,,,
surfing,Right foot lacerated,non-fatal,other,17,Teen,,,,,,
surfing,"No injury, surfboard bitten",non-fatal,other,21,Young Adult,,,,,,
fishing,"No injury to occupant, shark holed boat",non-fatal,white shark,,Unknown,,,,,,
swimming,"Right calf removed, leg surgically amputated below the knee",non-fatal,other,14,Teen,,,,,,
swimming,Right shin lacerated,non-fatal,other,19,Young Adult,,,,,,
fishing,"No injury to occupant, but  a shark chasing a hooked fish holed his boat above the waterline",non-fatal,white shark,,Unknown,,,,,,
fishing,"No injury,  shark leapt into boat & bit one of the boat's seats",non-fatal,white shark,,Unknown,,,,,,
other,"FATAL, right leg severed  ",fatal,white shark,26,Young Adult,,,,,,
swimming,Knee & calf lacerated,non-fatal,other,33,Young Adult,,,,,,
swimming,FATAL,fatal,other,,Unknown,,,,,,
swimming,FATAL,fatal,other,32,Young Adult,,,,,,
fishing,8 to 10 puncture marks around knee,non-fatal,whaler shark,,Unknown,,,,,,
fishing,"Right leg severed at knee, abrasion on left ankle",non-fatal,other,41,Adult,,,,,,
swimming,FATAL,fatal,other,20,Young Adult,,,,,,
swimming,FATAL,fatal,other,19,Young Adult,,,,,,
swimming,Leg bitten,non-fatal,other,,Unknown,,,,,,
swimming,FATAL,fatal,other,,Unknown,,,,,,
surfing,Foot bitten,non-fatal,other,13,Teen,,,,,,
fishing,"FATAL, thigh bitten ",fatal,other,,Unknown,,,,,,
fishing,Left hand & forearm lacerated,non-fatal,bull shark,11,Child,,,,,,
swimming,FATAL,fatal,other,20,Young Adult,,,,,,
fishing,"FATAL, leg bitten ",fatal,white shark,37,Adult,,,,,,
other,Massive wound on right thigh with femur exposed,non-fatal,tiger shark,,Unknown,,,,,,
surfing,Right foot severed,non-fatal,other,16,Teen,,,,,,
swimming,"One man was killed by a shark, the other was injured",non-fatal,other,,Unknown,,,,,,
wading,"FATAL, multiple bites ",fatal,other,45,Adult,,,,,,
fishing,FATAL,fatal,other,28,Young Adult,,,,,,
fishing,Hip bruised,non-fatal,other,26,Young Adult,,,,,,
swimming,"FATAL, multiple bites ",fatal,other,57,Adult,,,,,,
fishing,Hooked & gaffed shark bit his right elbow PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
surfing,Leg bitten,non-fatal,other,,Unknown,,,,,,
other,"No injury, shark grabbed scuba tank and descended to 110' before releasing him ",non-fatal,tiger shark,,Unknown,,,,,,
other,Hand & right shoulder lacerated,non-fatal,reef shark,,Unknown,,,,,,
surfing,"No injury, surboard flung into air & dented",non-fatal,other,13,Teen,,,,,,
swimming,"Hip, leg, arm, hand & shoulder bitten",non-fatal,other,25,Young Adult,,,,,,
surfing,"FATAL, hand severed, right leg and torso bitten ",fatal,other,17,Teen,,,,,,
swimming,"No injury, swim fin bitten",non-fatal,white shark,,Unknown,,,,,,
fishing,FATAL,fatal,other,,Unknown,,,,,,
fishing,Right arm bitten,non-fatal,other,24,Young Adult,,,,,,
surfing,Lacerations to thigh & buttocks,non-fatal,whaler shark,19,Young Adult,,,,,,
other,"FATAL, body not recovered",fatal,white shark,,Unknown,,,,,,
surfing,Survived,non-fatal,other,17,Teen,,,,,,
swimming,"No injury, leg of jeans torn off",non-fatal,other,17,Teen,,,,,,
surfing,Legs & board bitten,non-fatal,white shark,,Unknown,,,,,,
swimming,Feet injured,unknown,other,20,Young Adult,,,,,,
surfing,Left calf bitten,non-fatal,other,15,Teen,,,,,,
fishing,Forearm bitten,non-fatal,other,,Unknown,,,,,,
other,Left foot bitten,non-fatal,white shark,45,Adult,,,,,,
diving,Sharks reportedly bit legs & fins ,unknown,other,,Unknown,,,,,,
surfing,Buttocks bitten,non-fatal,other,22,Young Adult,,,,,,
other,Bitten on legs & buttock,non-fatal,white shark,32,Young Adult,,,,,,
fishing,Thigh bitten,non-fatal,reef shark,27,Young Adult,,,,,,
swimming,FATAL,fatal,tiger shark,25,Young Adult,,,,,,
swimming,FATAL,fatal,other,19,Young Adult,,,,,,
fishing,Arm bitten by hooked shark PROVOKED INCIDENT,non-fatal,other,33,Young Adult,,,,,,
fishing,Leg bitten,non-fatal,other,,Unknown,,,,,,
surfing,Laceration above knee,non-fatal,other,18,Teen,,,,,,
swimming,"FATAL, coroner's Verdict: ""Death presumably through shark attack & drowning""",fatal,other,20,Young Adult,,,,,,
other,"Leg severed at knee,  hand severed, arms, torso & buttock severely lacerated",non-fatal,white shark,24,Young Adult,,,,,,
fishing,Puncture wounds to arm,non-fatal,other,,Unknown,,,,,,
swimming,Shoulder injured,non-fatal,white shark,,Unknown,,,,,,
other,Right hand & torso lacerated,non-fatal,reef shark,,Unknown,,,,,,
swimming,Right forearm bitten,non-fatal,white shark,16,Teen,,,,,,
swimming,"Left leg severely bitten, surgically amputated",non-fatal,other,20,Young Adult,,,,,,
surfing,"Right shoulder, arm & hand bitten",non-fatal,other,18,Teen,,,,,,
swimming,Wrist & hand lacerated,non-fatal,other,25,Young Adult,,,,,,
other,Bitten on legs,non-fatal,white shark,30,Young Adult,,,,,,
surfing,Left foot injured,non-fatal,other,17,Teen,,,,,,
swimming,FATAL,fatal,white shark,34,Young Adult,,,,,,
fishing," FATAL. Shark bite was minor injury, but he suffered a heart attack afterwards and died 6 hours later",fatal,other,51,Adult,,,,,,
fishing,Eight puncture wounds to right leg by captive shark PROVOKED INCIDENT,non-fatal,other,26,Young Adult,,,,,,
wading,Laceration to left ankle,non-fatal,other,8,Child,,,,,,
other,"Major injuries to head, buttocks & back",non-fatal,white shark,,Unknown,,,,,,
surfing,Leg & surfboard bitten,non-fatal,white shark,21,Young Adult,,,,,,
swimming,Right foot bitten,non-fatal,other,16,Teen,,,,,,
swimming,"FATAL, multiple bites ",fatal,white shark,,Unknown,,,,,,
surfing,"FATAL, left thigh bitten ",fatal,other,19,Young Adult,,,,,,
surfing,Lacerations to left leg ,non-fatal,white shark,16,Teen,,,,,,
swimming,Torso lacerated,non-fatal,other,,Unknown,,,,,,
other,"Minor injury, arc of tooth impressions in wetsuit",non-fatal,white shark,,Unknown,,,,,,
surfing,Severe lacerations to thigh,non-fatal,white shark,15,Teen,,,,,,
swimming,FATAL,unknown,white shark,,Unknown,,,,,,
fishing,"FATAL, arm severed  ",fatal,other,18,Teen,,,,,,
fishing,"FATAL, decapitated and arm severed",fatal,other,,Unknown,,,,,,
fishing,Laceration to thigh,non-fatal,other,,Unknown,,,,,,
surfing,Shoulder & arm bitten,non-fatal,other,,Unknown,,,,,,
surfing,Bitten on right leg above the ankle,non-fatal,other,,Unknown,,,,,,
diving,Lacerations & punctures to right arm & shoulder ,non-fatal,other,43,Adult,,,,,,
fishing,"Another diver shot shark, shark bit his left foream  PROVOKED INCIDENT",non-fatal,other,20,Young Adult,,,,,,
swimming,Foot lacerated,non-fatal,other,,Unknown,,,,,,
boating,"Sharks scavenged on bodies, but no record of them injuring survivors ",unknown,other,,Unknown,,,,,,
other,Finger or toe severed,non-fatal,mako shark,,Unknown,,,,,,
fishing,Bitten on calf by hooked shark PROVOKED INCIDENT,non-fatal,other,13,Teen,,,,,,
wading,"FATAL, multiple injuries to both legs  ",fatal,other,16,Teen,,,,,,
wading,"FATAL, body not recovered",fatal,other,18,Teen,,,,,,
swimming,"FATAL, body not recovered",fatal,other,14,Teen,,,,,,
swimming,No details,unknown,other,,Unknown,,,,,,
surfing,"Swept out to sea,  5.5 m [18'] shark seen in the vicinity, body not recovered. ",unknown,other,,Unknown,,,,,,
wading,Foot & calf lacerated,non-fatal,other,19,Young Adult,,,,,,
wading,Lacerations to lower leg,non-fatal,other,8,Child,,,,,,
swimming,"Hands severed, forearm severely lacerated",non-fatal,other,14,Teen,,,,,,
swimming,Leg severed at knee,non-fatal,other,16,Teen,,,,,,
swimming,"Arm severed, thigh bitten",non-fatal,other,12,Child,,,,,,
swimming,Leg severed at knee,non-fatal,other,10,Child,,,,,,
swimming,Leg bitten,non-fatal,other,22,Young Adult,,,,,,
fishing,Swim fins badly torn by the shark's teeth,non-fatal,other,,Unknown,,,,,,
fishing,Minor injury,non-fatal,other,,Unknown,,,,,,
fishing,No injury,non-fatal,white shark,,Unknown,,,,,,
fishing,No details,unknown,white shark,,Unknown,,,,,,
swimming,"FATAL, left leg severed",fatal,other,35,Young Adult,,,,,,
fishing,Left hand bitten,non-fatal,other,35,Young Adult,,,,,,
swimming,Left thigh lacerated,non-fatal,other,15,Teen,,,,,,
diving,No injury,non-fatal,white shark,,Unknown,,,,,,
other,Leg & ankle severely bitten,non-fatal,white shark,53,Adult,,,,,,
fishing,Leg bitten by netted shark PROVOKED INCIDENT,non-fatal,other,28,Young Adult,,,,,,
surfing,Lacerations to lower leg,non-fatal,other,15,Teen,,,,,,
surfing,Lacerations to right lower leg & left arm and hand,non-fatal,other,13,Teen,,,,,,
surfing,"Foot bitten, minor injury",non-fatal,white shark,,Unknown,,,,,,
wading,No details,unknown,other,22,Young Adult,,,,,,
diving,Multiple lacerations,non-fatal,other,27,Young Adult,,,,,,
wading,No injury,non-fatal,other,8,Child,,,,,,
surfing,Foot lacerated when he stepped on the shark  PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
diving,Laceration to buttocks Recorded as PROVOKED INCIDENT,non-fatal,other,23,Young Adult,,,,,,
surfing,,unknown,other,18,Teen,,,,,,
fishing,Laceration to foot from dead shark PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
other,Foot lacerated. Recorded as PROVOKED INCIDENT,non-fatal,mako shark,65,Senior,,,,,,
surfing,Leg & surfboard bitten,non-fatal,white shark,16,Teen,,,,,,
fishing,Lacerations to hand from hooked shark PROVOKED INCIDENT,non-fatal,other,49,Adult,,,,,,
surfing,"Hit in face by shark, arm abraded, surfboard bitten",non-fatal,white shark,17,Teen,,,,,,
other,Survived,non-fatal,white shark,,Unknown,,,,,,
fishing,"No injury, left elbow & torso bumped by sharks",non-fatal,hammerhead,28,Young Adult,,,,,,
fishing,"Shark leapt into boat, landed on Hlope's back, then bit his left forearm",non-fatal,other,22,Young Adult,,,,,,
fishing,Swim fin bitten,non-fatal,bull shark,,Unknown,,,,,,
boating,Survived,non-fatal,other,,Unknown,,,,,,
surfing,,unknown,other,,Unknown,,,,,,
fishing,"FATAL, left leg bitten, femoral artery severed  ",fatal,white shark,24,Young Adult,,,,,,
other,"Shark bumped Colleen, the nudged Scott, then bit Frisbee & swam away with it",non-fatal,hammerhead,,Unknown,,,,,,
swimming,Finger severed,non-fatal,other,12,Child,,,,,,
fishing,Lacerations to head,non-fatal,other,18,Teen,,,,,,
other,Major injury to torso,non-fatal,white shark,25,Young Adult,,,,,,
wading,Abrasions on lower leg,non-fatal,other,33,Young Adult,,,,,,
fishing,Swimfin & knee bitten,non-fatal,other,33,Young Adult,,,,,,
swimming,"FATAL, taken by shark  ",fatal,other,,Unknown,,,,,,
fishing,"Bumped shoulder, bit head",non-fatal,reef shark,17,Teen,,,,,,
wading,Foot severely injured,unknown,other,63,Senior,,,,,,
other,Hand lacerated,non-fatal,whaler shark,21,Young Adult,,,,,,
swimming,FATAL Laceration to chest,fatal,other,7,Child,,,,,,
other,Foot lacerated Recorded as PROVOKED INCIDENT,non-fatal,whaler shark,47,Adult,,,,,,
wading,Left thigh lacerated,non-fatal,other,35,Young Adult,,,,,,
surfing,Foot lacerated,non-fatal,other,20,Young Adult,,,,,,
surfing,Foot lacerated,non-fatal,other,17,Teen,,,,,,
swimming,Thigh lacerated,non-fatal,other,14,Teen,,,,,,
fishing,"No injury, speargun bitten",non-fatal,whaler shark,26,Young Adult,,,,,,
diving,No injury,non-fatal,other,24,Young Adult,,,,,,
swimming,FATAL,fatal,other,13,Teen,,,,,,
swimming,FATAL,fatal,other,,Unknown,,,,,,
