Activity,Injury,Fatal,Species,Age,Age_group,,,,,,
snorkeling,Foot injured,non-fatal,other,8,Child,,,,,,
surfing,Left leg and hand injured,non-fatal,tiger shark,50,Adult,,,,,,
surfing,Minor linjury to left lower leg ,non-fatal,other,52,Adult,,,,,,
surfing,Minor injury. Shark bit surfboard,non-fatal,other,45,Adult,,,,,,
swimming,Minor injury. Shark bit surfboard,non-fatal,other,64,Senior,,,,,,
swimming,Body not recovered,fatal,other,52,Adult,,,,,,
swimming,Non-lifethreatening injuries,non-fatal,other,,Unknown,,,,,,
swimming,"Left arm severely bitten, surgically amputated",non-fatal,tiger shark,34,Young Adult,,,,,,
surfing,Llacerations to face and chin,non-fatal,other,38,Adult,,,,,,
surfing,Bite to lower back,non-fatal,other,,Unknown,,,,,,
fishing,Laceration to left thigh,unknown,other,,Unknown,,,,,,
surfing,Left hand bitten,non-fatal,other,,Unknown,,,,,,
wading,Right foot bitten,non-fatal,other,37,Adult,,,,,,
surfing,Severe injuries to lower limbs,unknown,white shark,44,Adult,,,,,,
wading,Minor injury to shoulder,non-fatal,other,9,Child,,,,,,
fishing,"Shark bit kayak, no injury to occupant",non-fatal,other,19,Young Adult,,,,,,
wading,Minor lacerations to right foot,non-fatal,other,35,Young Adult,,,,,,
fishing,Leg bitten,non-fatal,other,,Unknown,,,,,,
wading,Laceration to left posterior thigh,non-fatal,other,65,Senior,,,,,,
surfing,Ankle injured,non-fatal,other,22,Young Adult,,,,,,
fishing,Lower leg bitten,non-fatal,other,22,Young Adult,,,,,,
swimming,Superficial injuries to abomen and thighs,non-fatal,other,26,Young Adult,,,,,,
surfing,Laceration to leg,non-fatal,other,,Unknown,,,,,,
snorkeling,Lower left leg bitten,non-fatal,other,77,Senior,,,,,,
other,"Lower right leg bittenLa Patria, 7/20/2023w",non-fatal,white shark,38,Adult,,,,,,
surfing,Severe injury to foot,non-fatal,other,21,Young Adult,,,,,,
snorkeling,Serious injury to right leg,non-fatal,other,42,Adult,,,,,,
swimming,Injury to right hand,non-fatal,other,49,Adult,,,,,,
swimming,Laceration to right knee,non-fatal,other,47,Adult,,,,,,
surfing,Injury to left heel and toes,non-fatal,other,15,Teen,,,,,,
swimming,3 small puncture wounds to left leg,non-fatal,tiger shark,15,Teen,,,,,,
swimming,Multiple puncture wounds to right thigh,non-fatal,other,,Unknown,,,,,,
fishing,Hand bitten,non-fatal,other,,Unknown,,,,,,
other,Sharks bit their inflatable boats,non-fatal,tiger shark,,Unknown,,,,,,
swimming,Fatal,fatal,tiger shark,24,Young Adult,,,,,,
other,Calf severely bitten,unknown,reef shark,73,Senior,,,,,,
surfing,Buttock bitten,non-fatal,reef shark,25,Young Adult,,,,,,
fishing,"Fatal, bite to leg, shoulder and head",fatal,other,42,Adult,,,,,,
snorkeling,Left foot severed,non-fatal,reef shark,22,Young Adult,,,,,,
surfing,Lacerations to left foot and calf,non-fatal,other,15,Teen,,,,,,
fishing,PROVOKED INCIDENT   Hooked shark bit his foot,non-fatal,other,35,Young Adult,,,,,,
fishing, ,non-fatal,other,20,Young Adult,,,,,,
swimming,Minor inuries to right knee,non-fatal,other,24,Young Adult,,,,,,
surfing,FATAL,fatal,white shark,46,Adult,,,,,,
other,Multiple bites,non-fatal,bull shark,13,Teen,,,,,,
fishing,"Shark bit kayak, no inury to occupant",non-fatal,tiger shark,,Unknown,,,,,,
fishing,FATAL,fatal,bull shark,,Unknown,,,,,,
fishing,Injury to lower leg,non-fatal,other,22,Young Adult,,,,,,
surfing,Leg injured,non-fatal,other,,Unknown,,,,,,
fishing,Shoulder injured,non-fatal,other,39,Adult,,,,,,
swimming,Minor injuries,non-fatal,other,,Unknown,,,,,,
snorkeling,Cuts to leg,non-fatal,other,11,Child,,,,,,
fishing,Minor injury to lower right leg,non-fatal,bull shark,,Unknown,,,,,,
surfing,Bite to right arm,non-fatal,whaler shark,30,Young Adult,,,,,,
surfing,Lacerations to leg,non-fatal,other,,Unknown,,,,,,
fishing,"No injury, kayak damaged",non-fatal,other,,Unknown,,,,,,
surfing,Injuries to right foot ,non-fatal,tiger shark,58,Adult,,,,,,
surfing,Lacertions to right calf,non-fatal,other,67,Senior,,,,,,
fishing,Arm bitten,non-fatal,other,17,Teen,,,,,,
wading,Lower left leg and foot injured,non-fatal,other,,Unknown,,,,,,
swimming,Left hand and  left leg.,non-fatal,reef shark,60,Adult,,,,,,
swimming,Significant  injury to leg ,non-fatal,other,10,Child,,,,,,
surfing,,non-fatal,other,,Unknown,,,,,,
swimming,Left arm severly injured,non-fatal,other,15,Teen,,,,,,
swimming,Right thigh bitten resulting in surgical amputation,non-fatal,other,14,Teen,,,,,,
snorkeling,Left foot bitten,unknown,other,6,Child,,,,,,
surfing,Injuries to left thih and calf,non-fatal,other,32,Young Adult,,,,,,
swimming,"FATAL, Multiple injuries",unknown,bull shark,59,Adult,,,,,,
surfing,Injury to lower leg,non-fatal,other,60,Adult,,,,,,
fishing,Questionable,non-fatal,other,41,Adult,,,,,,
swimming,Fatal,fatal,bull shark,16,Teen,,,,,,
fishing,Minor injury to chest ,non-fatal,other,8,Child,,,,,,
swimming,"Hands, back and thigh inujured",non-fatal,bull shark,49,Adult,,,,,,
swimming,Lacerations to leg,non-fatal,other,34,Young Adult,,,,,,
surfing,Fatal,fatal,other,53,Adult,,,,,,
other,Knocked spear out of his hands and fin bitten,non-fatal,mako shark,30,Young Adult,,,,,,
snorkeling,Minor injury to shoulder and back,non-fatal,other,30,Young Adult,,,,,,
swimming,"Lower left torso, defensive wounds to hands",non-fatal,tiger shark,68,Senior,,,,,,
swimming,Lower leg.h bitten,non-fatal,other,15,Teen,,,,,,
diving,Left leg bitten,non-fatal,other,43,Adult,,,,,,
snorkeling,Fatal attack,fatal,tiger shark,60,Adult,,,,,,
surfing,Foot bitten,non-fatal,other,,Unknown,,,,,,
swimming,Foot bitten,non-fatal,other,10,Child,,,,,,
swimming,Shallow punctures & lacerations to right thigh,non-fatal,white shark,50,Adult,,,,,,
fishing,Right knee & thigh bitten by hooked shark,non-fatal,other,29,Young Adult,,,,,,
surfing,Minor inury from shark's fin,non-fatal,other,,Unknown,,,,,,
fishing,Minor injuries to hands,non-fatal,other,40,Adult,,,,,,
diving,Torso bitten,non-fatal,other,,Unknown,,,,,,
fishing,Minor injuries,non-fatal,other,,Unknown,,,,,,
snorkeling,"No injury, swim fin bitten",non-fatal,tiger shark,51,Adult,,,,,,
surfing,"No injury, ski holed by shark",non-fatal,other,19,Young Adult,,,,,,
fishing,Minor injury to leg by hooked shark,non-fatal,other,15,Teen,,,,,,
fishing,"Multiple injuries to left shoulder, arm and hand",non-fatal,bull shark,38,Adult,,,,,,
surfing,Lacerations to foot,non-fatal,other,17,Teen,,,,,,
surfing,Thigh injured,non-fatal,white shark,31,Young Adult,,,,,,
swimming,FATAL,fatal,white shark,39,Adult,,,,,,
fishing,Severe injuries to right arm,non-fatal,other,26,Young Adult,,,,,,
snorkeling,FATAL,fatal,bull shark,58,Adult,,,,,,
swimming,Injuries to left arm and right hand,non-fatal,other,51,Adult,,,,,,
surfing,Puncture wounds to right hand & forearm,non-fatal,whaler shark,14,Teen,,,,,,
kayaking,"No injury, kayak bitten in half",non-fatal,white shark,,Unknown,,,,,,
swimming,Minor injury to leg,non-fatal,other,,Unknown,,,,,,
fishing,Lacerations to lower legs,non-fatal,white shark,17,Teen,,,,,,
snorkeling,"Lower left leg severely bitten, necessitating surgical amputation",non-fatal,bull shark,10,Child,,,,,,
paddle,"No injury, board bitten",non-fatal,other,,Unknown,,,,,,
snorkeling,Minor injury to leg,non-fatal,other,,Unknown,,,,,,
wading,Minor bite to left  foot,non-fatal,other,33,Young Adult,,,,,,
surfing,Four-inch cut to right foot,non-fatal,other,16,Teen,,,,,,
surfing,Lacerations to lower leg,non-fatal,other,,Unknown,,,,,,
fishing,Fingrt bitten while releasing hooked shark PROVOKED INCUDEBT,non-fatal,other,,Unknown,,,,,,
surfing,Two-inch laceration to leg,non-fatal,tiger shark,41,Adult,,,,,,
surfing,Minor injury to foot,non-fatal,other,,Unknown,,,,,,
snorkeling,FATAL,fatal,other,60,Adult,,,,,,
